id,value,key,type
4077358,yes,lit,regular
4077358,Ernst-Vogler-Weg,name,regular
4077358,83607,postal_code,regular
4080104,tertiary,highway,regular
4080104,yes,lit,regular
4080104,50,maxspeed,regular
4080104,Tumblingerstraße,name,regular
4080104,asphalt,surface,regular
4081172,residential,highway,regular
4081172,yes,lit,regular
4081172,30,maxspeed,regular
4081172,Donnersbergerstraße,name,regular
4081172,asphalt,surface,regular
4082097,tertiary,highway,regular
4082097,2,lanes,regular
4082097,60,maxspeed,regular
4082097,Münchner Straße,name,regular
4082097,excellent,smoothness,regular
4082097,asphalt,surface,regular
4088166,Stein Straße,alt_name,regular
4088166,yes,bicycle,regular
4088166,track,cycleway,regular
4088166,residential,highway,regular
4088166,yes,lit,regular
4088166,30,maxspeed,regular
4088166,Steinstraße,name,regular
4088166,parallel,lane:both,parking
4088166,DE:zone,maxspeed,source
4088166,asphalt,surface,regular
4193383,footway,highway,regular
4209500,no,both,cycleway
4209500,residential,highway,regular
4209500,no,lane_markings,regular
4209500,yes,lit,regular
4209500,30,maxspeed,regular
4209500,Undinestraße,name,regular
4209500,both,sidewalk,regular
4209500,asphalt,surface,regular
4211364,use_sidepath,bicycle,regular
4211364,use_sidepath,foot,regular
4211364,tertiary,highway,regular
4211364,1,lanes,regular
4211364,yes,lit,regular
4211364,50,maxspeed,regular
4211364,Nymphenburger Straße,name,regular
4211364,yes,oneway,regular
4211364,no_stopping,lane:left,parking
4211364,parallel,lane:right,parking
4211364,asphalt,surface,regular
4218694,residential,highway,regular
4218694,yes,lit,regular
4218694,30,maxspeed,regular
4218694,Genovevaweg,name,regular
4218694,yes,oneway,regular
4218694,asphalt,surface,regular
4218722,footway,highway,regular
4218722,yes,lit,regular
4218722,paving_stones,surface,regular
4228624,residential,highway,regular
4228624,30,maxspeed,regular
4228624,Grenzstraße,name,regular
4228624,good,smoothness,regular
4228624,asphalt,surface,regular
4228917,residential,highway,regular
4228917,yes,lit,regular
4228917,30,maxspeed,regular
4228917,Pittingerplatz,name,regular
4228917,yes,oneway,regular
4228956,residential,highway,regular
4228956,30,maxspeed,regular
4228956,Marxhofstraße,name,regular
4228956,yes,oneway,regular
4228956,asphalt,surface,regular
4229008,residential,highway,regular
4229008,yes,lit,regular
4229008,30,maxspeed,regular
4229008,Hans-Durach-Straße,name,regular
4229008,good,smoothness,regular
4229008,asphalt,surface,regular
4229043,residential,highway,regular
4229043,2,lanes,regular
4229043,yes,lit,regular
4229043,30,maxspeed,regular
4229043,5.5,maxweight,regular
4229043,Feldstraße,name,regular
4229043,asphalt,surface,regular
4229081,use_sidepath,foot,regular
4229081,unclassified,highway,regular
4229081,3,lanes,regular
4229081,2,backward,lanes
4229081,1,forward,lanes
4229081,50,maxspeed,regular
4229081,Hugo-Junkers-Straße,name,regular
4229081,right,sidewalk,regular
4229081,good,smoothness,regular
4229081,asphalt,surface,regular
4229081,left|left;right,lanes:backward,turn
4229657,residential,highway,regular
4229657,30,maxspeed,regular
4229657,Fichtenweg,name,regular
4230424,yes,foot,regular
4230424,steps,highway,regular
4230424,up,incline,regular
4230424,no,lit,regular
4230721,footway,highway,regular
4230939,path,highway,regular
4230939,paved,surface,regular
4230988,use_sidepath,bicycle,regular
4230988,use_sidepath,foot,regular
4230988,secondary,highway,regular
4230988,4,lanes,regular
4230988,3,backward,lanes
4230988,1,forward,lanes
4230988,yes,lit,regular
4230988,50,maxspeed,regular
4230988,Rosenheimer Landstraße,name,regular
4230988,M 12,ref,regular
4230988,both,sidewalk,regular
4230988,excellent,smoothness,regular
4230988,asphalt,surface,regular
4230988,DE:27502/27503,tmc,regular
4230988,left|none|right,lanes:backward,turn
4230988,none,lanes:forward,turn
4231705,residential,highway,regular
4231705,yes,lit,regular
4231705,Franz-Mader-Straße,name,regular
4231705,80992,postal_code,regular
4231705,good,smoothness,regular
4231705,asphalt,surface,regular
4240143,designated,bicycle,regular
4240143,designated,foot,regular
4240143,footway,highway,regular
4240143,no,segregated,regular
4246281,tertiary,highway,regular
4246281,no,lit,regular
4246281,50,maxspeed,regular
4246281,Otterfinger Straße,name,regular
